# Simulation 1 (Up to date)
# 473 data points written for 57 variables.
#
# Время (s),Высота (m),Altitude above sea level (m),Вертикальная скорость (m/s),Общая скорость (m/s),Вертикальное ускорение (m/s²),Общее ускорение (m/s²),Положение по ветру (m),Положение против ветра (m),Боковая дистанция (m),Боковое направление (°),Боковая скорость (m/s),Боковое ускорение (m/s²),Широта (° С),Долгота (° В),Угол атаки (°),Угловая скорость крена (°/s),Угловая скорость тангажа (°/s),Угловая скорость рысканья (°/s),Вертикальная ориентация (зенит) (°),Продольная ориентация (азимут) (°),Масса (g),Масса топлива (g),Продольный момент инерции (kg·m²),Крутящий момент инерции (kg·m²),Гравитационное ускорение (m/s²),Положение ЦД (cm),Положение ЦТ (cm),Запас устойчивости в калибрах (​),Тяга (N),Thrust-to-weight ratio (​),Сила аэродинамического сопротивления (N),Коэффициент аэродинамического сопротивления (​),Коэффициент давления аэродинамического сопротивления (​),Коэффициент базового аэродинамического сопротивления (​),Коэффициент осевого аэродинамического сопротивления (​),Коэффициент нормализации тяги (​),Коэффициент момента тангажа (​),Коэффициент момента рысканья (​),Коэффициент боковой тяги (​),Коэффициент момента крена (​),Коэффициент усиления крена (​),Коэффициент затухания крена (​),Коэффициент затухания тангажа (​),Скорость ветра (m/s),Wind direction (°),Температура воздуха (°C),Давление воздуха (mbar),Air density (g/cm³),Скорость звука (m/s),Число Маха (​),Число Рейнольдса (​),Характерная длина миделя (cm),Характерная площадь (cm²),Временной шаг расчета (s),Время расчета (s),Кориолисово ускорение (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
28.263,139.502,139.502,-4.123,4.527,0.026,0.775,-18.496,0.002,18.496,270.005,1.869,0.774,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.985,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.194,90,14.093,996.889,0.001,339.839,0.012,1.3e5,4,12.566,0.211,0.266,5.941e-4
28.474,138.634,138.634,-4.118,4.592,-0.03,0.033,-18.907,0.002,18.907,270.005,2.032,0.014,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.959,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.038,90,14.099,996.991,0.001,339.843,0.012,1.295e5,4,12.566,0.211,0.267,6.048e-4
28.685,137.764,137.764,-4.124,4.599,0.011,0.439,-19.335,0.002,19.335,270.005,2.035,0.439,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.974,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.22,90,14.105,997.093,0.001,339.846,0.012,1.298e5,4,12.566,0.211,0.267,6.057e-4
28.895,136.896,136.896,-4.122,4.638,-0.003,0.333,-19.774,0.002,19.774,270.005,2.128,0.333,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.268,90,14.11,997.194,0.001,339.85,0.012,1.297e5,4,12.566,0.211,0.267,6.122e-4
29.106,136.028,136.028,-4.122,4.672,-6.249e-4,0.289,-20.229,0.002,20.229,270.005,2.198,0.289,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.969,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.076,90,14.116,997.296,0.001,339.853,0.012,1.297e5,4,12.566,0.211,0.267,6.175e-4
29.317,135.16,135.16,-4.123,4.643,-6.956e-4,0.233,-20.686,0.002,20.686,270.004,2.137,0.233,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.039,90,14.121,997.398,0.001,339.857,0.012,1.297e5,4,12.566,0.211,0.267,6.13e-4
29.527,134.291,134.291,-4.123,4.621,-0.002,0.043,-21.131,0.002,21.131,270.004,2.088,0.042,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.967,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.106,90,14.127,997.5,0.001,339.86,0.012,1.297e5,4,12.566,0.211,0.267,6.094e-4
29.738,133.423,133.423,-4.123,4.626,0.009,0.415,-21.571,0.002,21.571,270.004,2.097,0.415,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.973,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.922,90,14.133,997.602,0.001,339.863,0.012,1.298e5,4,12.566,0.211,0.267,6.101e-4
29.948,132.555,132.555,-4.121,4.585,0.031,0.873,-22.003,0.002,22.003,270.004,2.009,0.872,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.989,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.644,90,14.138,997.703,0.001,339.867,0.012,1.301e5,4,12.566,0.211,0.267,6.036e-4
30.159,131.688,131.688,-4.115,4.502,0.058,1.384,-22.407,0.002,22.407,270.004,1.826,1.382,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,3.014,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.248,90,14.144,997.805,0.001,339.87,0.012,1.307e5,4,12.566,0.211,0.267,5.903e-4
30.37,130.822,130.822,-4.102,4.38,-0.093,0.208,-22.762,0.002,22.762,270.004,1.534,0.186,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.94,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.613,90,14.15,997.907,0.001,339.874,0.012,1.291e5,4,12.566,0.212,0.267,5.709e-4
30.581,129.952,129.952,-4.122,4.412,0.004,0.301,-23.09,0.002,23.09,270.004,1.574,0.301,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.97,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7,90,14.155,998.009,0.001,339.877,0.012,1.297e5,4,12.566,0.211,0.267,5.755e-4
30.792,129.084,129.084,-4.121,4.434,0.047,1.003,-23.428,0.002,23.428,270.004,1.637,1.002,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.997,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.057,90,14.161,998.111,0.001,339.88,0.012,1.303e5,4,12.566,0.211,0.267,5.792e-4
31.002,128.217,128.217,-4.111,4.508,0.008,1.07,-23.795,0.002,23.795,270.004,1.848,1.07,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.988,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.297,90,14.167,998.212,0.001,339.884,0.012,1.301e5,4,12.566,0.211,0.267,5.914e-4
31.213,127.35,127.35,-4.11,4.603,-0.05,0.375,-24.209,0.002,24.209,270.004,2.073,0.371,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.955,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.23,90,14.172,998.314,0.001,339.887,0.012,1.294e5,4,12.566,0.211,0.267,6.069e-4
31.425,126.481,126.481,-4.12,4.648,-0.005,0.143,-24.655,0.001,24.655,270.003,2.152,0.143,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.966,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.092,90,14.178,998.416,0.001,339.891,0.012,1.297e5,4,12.566,0.211,0.268,6.138e-4
31.635,125.614,125.614,-4.121,4.635,7.803e-4,0.141,-25.105,0.001,25.105,270.003,2.122,0.141,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.062,90,14.184,998.518,0.001,339.894,0.012,1.297e5,4,12.566,0.21,0.268,6.117e-4
31.846,124.746,124.746,-4.121,4.622,0.01,0.457,-25.548,0.001,25.548,270.003,2.092,0.457,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.974,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.284,90,14.189,998.619,0.001,339.898,0.012,1.298e5,4,12.566,0.21,0.268,6.095e-4
32.056,123.879,123.879,-4.119,4.664,9.167e-4,0.459,-25.998,0.001,25.998,270.003,2.188,0.459,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.971,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.381,90,14.195,998.721,0.001,339.901,0.012,1.298e5,4,12.566,0.211,0.268,6.164e-4
32.267,123.012,123.012,-4.119,4.71,-7.997e-4,0.424,-26.469,0.001,26.469,270.003,2.285,0.424,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.97,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.107,90,14.2,998.823,0.001,339.904,0.012,1.298e5,4,12.566,0.211,0.268,6.238e-4
32.477,122.145,122.145,-4.119,4.668,0.003,0.482,-26.941,0.001,26.941,270.003,2.195,0.482,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.972,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.993,90,14.206,998.924,0.001,339.908,0.012,1.298e5,4,12.566,0.211,0.268,6.17e-4
32.688,121.278,121.278,-4.118,4.62,-0.011,0.074,-27.392,0.001,27.392,270.003,2.094,0.073,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.965,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.063,90,14.212,999.026,0.001,339.911,0.012,1.297e5,4,12.566,0.211,0.268,6.093e-4
32.898,120.411,120.411,-4.121,4.615,7.495e-4,0.066,-27.832,0.001,27.832,270.003,2.079,0.066,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.051,90,14.217,999.128,0.001,339.915,0.012,1.297e5,4,12.566,0.21,0.268,6.085e-4
33.108,119.544,119.544,-4.12,4.609,6.12e-4,0.024,-28.267,0.001,28.267,270.003,2.065,0.024,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.075,90,14.223,999.23,0.001,339.918,0.012,1.297e5,4,12.566,0.21,0.268,6.074e-4
33.319,118.677,118.677,-4.12,4.611,0.002,0.16,-28.702,0.001,28.702,270.003,2.07,0.16,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.969,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.003,90,14.229,999.331,0.001,339.921,0.012,1.298e5,4,12.566,0.21,0.268,6.078e-4
33.529,117.81,117.81,-4.12,4.595,0.003,0.253,-29.134,0.001,29.134,270.003,2.036,0.253,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.97,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.93,90,14.234,999.433,0.001,339.925,0.012,1.298e5,4,12.566,0.21,0.268,6.053e-4
33.74,116.943,116.943,-4.119,4.572,-0.002,0.025,-29.557,0.001,29.557,270.003,1.983,0.025,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.967,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.993,90,14.24,999.535,0.001,339.928,0.012,1.297e5,4,12.566,0.21,0.268,6.015e-4
33.95,116.077,116.077,-4.12,4.574,0.002,0.166,-29.975,0.001,29.975,270.003,1.988,0.166,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.969,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.918,90,14.246,999.636,0.001,339.932,0.012,1.298e5,4,12.566,0.21,0.268,6.019e-4
34.16,115.21,115.21,-4.119,4.559,-6.588e-6,0.109,-30.389,0.001,30.389,270.003,1.953,0.109,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.907,90,14.251,999.738,0.001,339.935,0.012,1.298e5,4,12.566,0.5,0.269,5.994e-4
34.66,113.15,113.15,-4.119,4.536,0.003,0.196,-31.352,0.001,31.352,270.002,1.899,0.196,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.969,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.981,90,14.265,999.979,0.001,339.943,0.012,1.298e5,4,12.566,0.21,0.269,5.957e-4
34.871,112.284,112.284,-4.119,4.553,-1.321e-4,0.142,-31.756,0.001,31.756,270.002,1.94,0.142,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,90,14.27,1000.081,0.001,339.947,0.012,1.298e5,4,12.566,0.21,0.269,5.984e-4
35.081,111.418,111.418,-4.119,4.565,5.29e-4,0.123,-32.167,0.001,32.167,270.002,1.97,0.123,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.918,90,14.276,1000.183,0.001,339.95,0.012,1.298e5,4,12.566,0.21,0.269,6.005e-4
35.291,110.552,110.552,-4.119,4.554,0.006,0.335,-32.578,0.001,32.578,270.002,1.944,0.335,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.971,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.085,90,14.281,1000.284,0.001,339.953,0.012,1.298e5,4,12.566,0.21,0.269,5.987e-4
35.502,109.685,109.685,-4.117,4.584,-0.002,0.242,-32.995,0.001,32.995,270.002,2.014,0.242,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.116,90,14.287,1000.386,0.001,339.957,0.012,1.298e5,4,12.566,0.21,0.269,6.035e-4
35.712,108.819,108.819,-4.118,4.607,0.001,0.259,-33.424,0.001,33.424,270.002,2.065,0.259,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.969,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.174,90,14.293,1000.487,0.001,339.96,0.012,1.298e5,4,12.566,0.21,0.269,6.072e-4
35.922,107.953,107.953,-4.117,4.631,-0.002,0.148,-33.864,0.001,33.864,270.002,2.12,0.148,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.058,90,14.298,1000.589,0.001,339.964,0.012,1.298e5,4,12.566,0.21,0.269,6.111e-4
36.133,107.087,107.087,-4.118,4.617,-2.159e-4,0.044,-34.306,0.001,34.306,270.002,2.089,0.044,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.107,90,14.304,1000.69,0.001,339.967,0.012,1.298e5,4,12.566,0.21,0.269,6.089e-4
36.343,106.222,106.222,-4.118,4.621,7.062e-4,0.011,-34.746,0.001,34.746,270.002,2.098,0.011,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.103,90,14.31,1000.792,0.001,339.97,0.012,1.298e5,4,12.566,0.21,0.269,6.096e-4
36.553,105.356,105.356,-4.118,4.622,0.028,0.733,-35.188,0.001,35.188,270.002,2.1,0.733,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.985,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.408,90,14.315,1000.894,0.001,339.974,0.012,1.302e5,4,12.566,0.21,0.269,6.097e-4
36.763,104.491,104.491,-4.112,4.689,-0.025,0.159,-35.646,0.001,35.646,270.002,2.254,0.157,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.96,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.321,90,14.321,1000.995,0.001,339.977,0.012,1.296e5,4,12.566,0.211,0.269,6.207e-4
36.974,103.624,103.624,-4.117,4.71,3.537e-4,0.127,-36.124,0.001,36.124,270.002,2.287,0.127,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.234,90,14.326,1001.097,0.001,339.981,0.012,1.298e5,4,12.566,0.21,0.269,6.238e-4
37.184,102.759,102.759,-4.117,4.697,0.004,0.275,-36.602,0.001,36.602,270.002,2.261,0.275,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.97,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.145,90,14.332,1001.198,0.001,339.984,0.012,1.298e5,4,12.566,0.21,0.27,6.217e-4
37.394,101.893,101.893,-4.116,4.669,0.002,0.312,-37.071,0.001,37.071,270.002,2.203,0.312,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.97,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.072,90,14.338,1001.3,0.001,339.988,0.012,1.298e5,4,12.566,0.21,0.27,6.172e-4
37.605,101.028,101.028,-4.116,4.638,0.039,0.929,-37.527,0.001,37.527,270.002,2.137,0.928,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.993,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.749,90,14.343,1001.401,0.001,339.991,0.012,1.303e5,4,12.566,0.21,0.27,6.122e-4
37.815,100.163,100.163,-4.108,4.543,-0.029,0.527,-37.956,0.001,37.956,270.002,1.942,0.526,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.963,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.721,90,14.349,1001.503,0.001,339.994,0.012,1.297e5,4,12.566,0.211,0.27,5.973e-4
38.026,99.298,99.298,-4.114,4.503,0.013,0.715,-38.353,0.001,38.353,270.002,1.831,0.715,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.979,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.131,90,14.355,1001.604,0.001,339.998,0.012,1.301e5,4,12.566,0.21,0.27,5.905e-4
38.236,98.433,98.433,-4.111,4.564,-0.01,0.542,-38.754,0.001,38.754,270.002,1.982,0.542,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.969,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.209,90,14.36,1001.706,0.001,340.001,0.012,1.298e5,4,12.566,0.21,0.27,6.005e-4
38.446,97.567,97.567,-4.113,4.616,-0.013,0.163,-39.183,0.001,39.183,270.002,2.096,0.163,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.964,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.164,90,14.366,1001.807,0.001,340.005,0.012,1.297e5,4,12.566,0.21,0.27,6.089e-4
38.657,96.702,96.702,-4.116,4.634,1.32e-4,0.116,-39.628,0.001,39.628,270.002,2.13,0.116,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.179,90,14.371,1001.908,0.001,340.008,0.012,1.298e5,4,12.566,0.21,0.27,6.117e-4
38.867,95.837,95.837,-4.116,4.645,8.786e-4,0.123,-40.078,0.001,40.078,270.001,2.154,0.123,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.103,90,14.377,1002.01,0.001,340.011,0.012,1.298e5,4,12.566,0.21,0.27,6.135e-4
39.077,94.972,94.972,-4.115,4.633,0.006,0.338,-40.528,0.001,40.528,270.001,2.128,0.338,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.971,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.987,90,14.383,1002.111,0.001,340.015,0.012,1.299e5,4,12.566,0.21,0.27,6.115e-4
39.287,94.107,94.107,-4.114,4.6,0.031,0.841,-40.968,0.001,40.968,270.001,2.057,0.84,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.988,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.705,90,14.388,1002.213,0.001,340.018,0.012,1.303e5,4,12.566,0.21,0.27,6.062e-4
39.497,93.243,93.243,-4.108,4.518,-0.032,0.232,-41.382,0.001,41.382,270.001,1.881,0.23,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.959,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.784,90,14.394,1002.314,0.001,340.022,0.012,1.296e5,4,12.566,0.211,0.27,5.932e-4
39.708,92.378,92.378,-4.115,4.504,-4.734e-4,0.166,-41.772,9.947e-4,41.772,270.001,1.832,0.166,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.763,90,14.4,1002.416,0.001,340.025,0.012,1.298e5,4,12.566,0.21,0.27,5.907e-4
39.918,91.513,91.513,-4.115,4.49,5.29e-4,0.149,-42.154,9.826e-4,42.154,270.001,1.797,0.149,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.86,90,14.405,1002.517,0.001,340.028,0.012,1.298e5,4,12.566,0.21,0.27,5.884e-4
40.128,90.648,90.648,-4.115,4.503,-2.913e-4,0.031,-42.535,9.711e-4,42.535,270.001,1.829,0.031,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.968,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.816,90,14.411,1002.618,0.001,340.032,0.012,1.298e5,4,12.566,0.21,0.271,5.905e-4
40.338,89.784,89.784,-4.115,4.5,0.01,0.429,-42.918,9.597e-4,42.918,270.001,1.822,0.429,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.974,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.642,90,14.416,1002.72,0.001,340.035,0.012,1.3e5,4,12.566,0.21,0.271,5.9e-4
40.548,88.92,88.92,-4.113,4.462,-0.008,0.095,-43.292,9.483e-4,43.292,270.001,1.732,0.095,28.61,-80.6,NaN,NaN,NaN,NaN,60.816,89.982,303.089,12,0.005,6.915e-5,9.792,0,21.117,-5.279,0,0,2.965,0,229.688,0,229.688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.772,90,14.422,1002.821,0.001,340.039,0.012,1.298e5,4,12.566,0.21,0.271,5.84e-4
